Model Name,Description,Display As,String Type,String Count,Node Count,Light Count,Est Current (Amps),Channels Per Node, Channel Count,Start Channel,Start Channel No,End Channel No,Preview,Controller Connection,Controller Type,Controller Description,Output,IP,Universe,Controller Channel,Inactive
"16 inch 2 prong-1","","Custom","RGB Nodes",0,36,36,2.16,3,108,#59:1,7528,7635,Default,,E131,"",22,MULTICAST,59,1,FALSE
"16 inch 2 prong-1-1","","Custom","RGB Nodes",0,36,36,2.16,3,108,>16 inch 2 prong-1:1,7636,7743,Default,,E131,"",22,MULTICAST,59,109,FALSE
"16 inch 2 prong-1-2","","Custom","RGB Nodes",0,36,36,2.16,3,108,>16 inch 2 prong-1-1:1,7744,7851,Default,,E131,"",22,MULTICAST,59,217,FALSE
"16 inch 2 prong-1-3","","Custom","RGB Nodes",0,36,36,2.16,3,108,>16 inch 2 prong-1-2:1,7852,7959,Default,,E131,"",22,MULTICAST,59,325,FALSE
"16 inch 3 prong","","Custom","RGB Nodes",0,36,36,2.16,3,108,>16 inch 2 prong-1-3:1,7960,8067,Default,,E131,"",22,MULTICAST,59,433,FALSE
"16 inch 3 prong-1","","Custom","RGB Nodes",0,36,36,2.16,3,108,>16 inch 3 prong:1,8068,8175,Default,,E131,"",23,MULTICAST,60,29,FALSE
"16 inch 3 prong-2","","Custom","RGB Nodes",0,36,36,2.16,3,108,>16 inch 3 prong-1:1,8176,8283,Default,,E131,"",23,MULTICAST,60,137,FALSE
"16 inch 3 prong-3","","Custom","RGB Nodes",0,36,36,2.16,3,108,>16 inch 3 prong-2:1,8284,8391,Default,,E131,"",23,MULTICAST,60,245,FALSE
"16 inch Arrow","","Custom","RGB Nodes",0,36,36,2.16,3,108,>16 inch 3 prong-3:1,8392,8499,Default,,E131,"",23,MULTICAST,60,353,FALSE
"16 inch Arrow-1","","Custom","RGB Nodes",0,36,36,2.16,3,108,>16 inch Arrow:1,8500,8607,Default,,E131,"",23,MULTICAST,60,461,FALSE
"16 inch Arrow-2","","Custom","RGB Nodes",0,36,36,2.16,3,108,>16 inch Arrow-1:1,8608,8715,Default,,E131,"",24,MULTICAST,61,57,FALSE
"16 inch Arrow-3","","Custom","RGB Nodes",0,36,36,2.16,3,108,>16 inch Arrow-2:1,8716,8823,Default,,E131,"",24,MULTICAST,61,165,FALSE
"ALL RGB","Flood #1, Flood #2, Flood #3, Flood #4, Flood #5, RGB Display Sign, RGB Left Garage, RGB Left Offset Garage, RGB Left Peek Garage, RGB Right Offset Garage, RGB Right Peek Garage, RGB Roof Front House, RGB Megatree, Wreath-inside, Wreath-middle, Wreath-outside, Window Left, Window Right, Arches, Spiral Tree 1, Spiral Tree 2, Spiral Tree 3, Spiral Tree Large 1, Spiral Tree Large 2, Spiral Tree Large 3, p10matrix","ModelGroup",,,,,,,16695,,49,16743,Default,,,,,,,
"All Blue Mini Trees","Mini Tree #1 Blue, Mini Tree #2 Blue, Mini Tree #3 Blue, Mini Tree #4 Blue, Mini Tree #5 Blue","ModelGroup",,,,,,,9,,17,25,Default,,,,,,,
